# Combining / zero-width code point ranges
# Unicode 15.0.0, DerivedCoreProperties.txt + PropList.txt (2022-09-13)
# Source: https://unicode.org/Public/15.0.0/ucd/
#
# These ranges are compiled into src/layout.cpp:k_combining[].
# Includes General_Category: Mn (Non_Spacing_Mark), Me (Enclosing_Mark),
# and selected Cf (Format) characters that are zero-width in terminal display.
# Format: U+XXXX..U+YYYY   # comment

U+00AD             # SOFT HYPHEN (Cf, zero-width)
U+0300..U+036F     # Combining Diacritical Marks (all Mn)
U+0483..U+0489     # Cyrillic combining (Mn/Me)
U+0591..U+05BD     # Hebrew cantillation marks (Mn)
U+05BF             # Hebrew point rafe (Mn)
U+05C1..U+05C2     # Hebrew points shin/sin dot (Mn)
U+05C4..U+05C5     # Hebrew mark upper/lower dot (Mn)
U+05C7             # Hebrew point qamats qatan (Mn)
U+0610..U+061A     # Arabic sign/extended (Mn)
U+064B..U+065F     # Arabic diacritics (Mn)
U+0670             # Arabic letter superscript alef (Mn)
U+06D6..U+06DC     # Arabic small high marks (Mn)
U+06DF..U+06E4     # Arabic small high marks (Mn)
U+06E7..U+06E8     # Arabic small high yeh/noon (Mn)
U+06EA..U+06ED     # Arabic small low/high marks (Mn)
U+0711             # Syriac letter superscript alaph (Mn)
U+0730..U+074A     # Syriac points and marks (Mn)
U+07A6..U+07B0     # Thaana vowel signs (Mn)
U+07EB..U+07F3     # Nko combining (Mn)
U+07FD             # Nko dantayalan (Mn)
U+0816..U+0823     # Samaritan combining (Mn)
U+0825..U+082D     # Samaritan combining (Mn)
U+0859..U+085B     # Mandaic combining (Mn)
U+0898..U+089F     # Arabic Extended-B combining (Mn)
U+08CA..U+08E1     # Arabic Extended-A combining (Mn)
U+08E3..U+0902     # Arabic/Devanagari combining (Mn)
U+093A             # Devanagari vowel sign OE (Mn)
U+093C             # Devanagari sign nukta (Mn)
U+0941..U+0948     # Devanagari vowel signs (Mn)
U+094D             # Devanagari sign virama (Mn)
U+0951..U+0957     # Devanagari stress marks (Mn)
U+0962..U+0963     # Devanagari vowel signs (Mn)
U+0981             # Bengali sign anusvara (Mn)
U+09BC             # Bengali sign nukta (Mn)
U+09C1..U+09C4     # Bengali vowel signs (Mn)
U+09CD             # Bengali sign virama (Mn)
U+09E2..U+09E3     # Bengali vowel signs (Mn)
U+09FE             # Bengali sandhi mark (Mn)
U+0A01..U+0A02     # Gurmukhi combining (Mn)
U+0A3C             # Gurmukhi sign nukta (Mn)
U+0A41..U+0A42     # Gurmukhi vowel signs (Mn)
U+0A47..U+0A48     # Gurmukhi vowel signs (Mn)
U+0A4B..U+0A4D     # Gurmukhi signs (Mn)
U+0A51             # Gurmukhi sign udaat (Mn)
U+0A70..U+0A71     # Gurmukhi tippi/addak (Mn)
U+0A75             # Gurmukhi sign yakash (Mn)
U+0A81..U+0A82     # Gujarati combining (Mn)
U+0ABC             # Gujarati sign nukta (Mn)
U+0AC1..U+0AC5     # Gujarati vowel signs (Mn)
U+0AC7..U+0AC8     # Gujarati vowel signs (Mn)
U+0ACD             # Gujarati sign virama (Mn)
U+0AE2..U+0AE3     # Gujarati vowel signs (Mn)
U+0AFA..U+0AFF     # Gujarati combining (Mn)
U+0B01             # Oriya sign candrabindu (Mn)
U+0B3C             # Oriya sign nukta (Mn)
U+0B3F             # Oriya vowel sign I (Mn)
U+0B41..U+0B44     # Oriya vowel signs (Mn)
U+0B4D             # Oriya sign virama (Mn)
U+0B55..U+0B56     # Oriya combining (Mn)
U+0B62..U+0B63     # Oriya vowel signs (Mn)
U+0B82             # Tamil sign anusvara (Mn)
U+0BC0             # Tamil vowel sign II (Mn)
U+0BCD             # Tamil sign virama (Mn)
U+0C00             # Telugu sign combining candrabindu above (Mn)
U+0C04             # Telugu sign combining anusvara above (Mn)
U+0C3C             # Telugu sign nukta (Mn)
U+0C3E..U+0C40     # Telugu vowel signs (Mn)
U+0C46..U+0C48     # Telugu vowel signs (Mn)
U+0C4A..U+0C4D     # Telugu signs (Mn)
U+0C55..U+0C56     # Telugu length marks (Mn)
U+0C62..U+0C63     # Telugu vowel signs (Mn)
U+0C81             # Kannada sign candrabindu (Mn)
U+0CBC             # Kannada sign nukta (Mn)
U+0CBF             # Kannada vowel sign I (Mn)
U+0CC6             # Kannada vowel sign E (Mn)
U+0CCC..U+0CCD     # Kannada signs (Mn)
U+0CE2..U+0CE3     # Kannada vowel signs (Mn)
U+0D00..U+0D01     # Malayalam signs (Mn)
U+0D3B..U+0D3C     # Malayalam signs (Mn)
U+0D41..U+0D44     # Malayalam vowel signs (Mn)
U+0D4D             # Malayalam sign virama (Mn)
U+0D62..U+0D63     # Malayalam vowel signs (Mn)
U+0D81             # Sinhala sign candrabindu (Mn)
U+0DCA             # Sinhala sign al-lakuna (Mn)
U+0DD2..U+0DD4     # Sinhala vowel signs (Mn)
U+0DD6             # Sinhala vowel sign diga paa-pilla (Mn)
U+0E31             # Thai character mai han akat (Mn)
U+0E34..U+0E3A     # Thai vowel signs (Mn)
U+0E47..U+0E4E     # Thai marks and tones (Mn)
U+0EB1             # Lao vowel sign mai kan (Mn)
U+0EB4..U+0EBC     # Lao vowel signs (Mn)
U+0EC8..U+0ECD     # Lao tones (Mn)
U+0F18..U+0F19     # Tibetan signs (Mn)
U+0F35             # Tibetan mark ngas bzung nyi zla (Mn)
U+0F37             # Tibetan mark ngas bzung sgor rtags (Mn)
U+0F39             # Tibetan mark tsa-phru (Mn)
U+0F71..U+0F7E     # Tibetan vowel signs (Mn)
U+0F80..U+0F84     # Tibetan vowel/mark (Mn)
U+0F86..U+0F87     # Tibetan signs (Mn)
U+0F8D..U+0F97     # Tibetan subjoined letters (Mn)
U+0F99..U+0FBC     # Tibetan subjoined letters (Mn)
U+0FC6             # Tibetan symbol padma gdan (Mn)
